regime,accept_prob,backend,num_states,table_mb,throughput_gbps,mean_bytes_examined,accept_rate,gpu,l2_mb
latching,0.02,cuda,1024,1.0,91.53,55.4,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,warp,1024,1.0,44.69,55.4,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,triton,1024,1.0,25.09,55.4,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,cuda,4096,4.0,80.31,51.9,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,warp,4096,4.0,38.43,51.9,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,triton,4096,4.0,24.24,51.9,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,cuda,16384,16.0,71.55,38.4,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,warp,16384,16.0,35.53,38.4,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,triton,16384,16.0,22.72,38.4,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,cuda,65536,64.0,44.28,45.7,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,warp,65536,64.0,27.12,45.7,1.0,NVIDIA A100-SXM4-40GB,40
latching,0.02,triton,65536,64.0,21.73,45.7,1.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,cuda,1024,1.0,26.55,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,warp,1024,1.0,20.43,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,triton,1024,1.0,18.27,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,cuda,4096,4.0,25.05,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,warp,4096,4.0,17.16,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,triton,4096,4.0,17.17,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,cuda,16384,16.0,17.6,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,warp,16384,16.0,12.26,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,triton,16384,16.0,12.95,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,cuda,65536,64.0,10.28,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,warp,65536,64.0,8.72,1024,0.0,NVIDIA A100-SXM4-40GB,40
non-latching,0.0,triton,65536,64.0,7.72,1024,0.0,NVIDIA A100-SXM4-40GB,40
